id,tokens,slots,intent
57,Add The “Chirping” Crickets to my Mellowed Out Gaming playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
58,Add tune to Blues,O B-music_item O B-playlist,AddToPlaylist
59,I want the Turbonegro album to go on the playlist called Genuine R&B,O O O B-artist B-music_item O O O O O O B-playlist I-playlist,AddToPlaylist
60,Add Munawar Ali Khan to my mujeres y hombres y fiesta,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
61,add tune to my mellow bars playlist,O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
62,Add mc ren to my It's a Southern Thing playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
63,Add this song to my roadrunner rec new releases list,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
64,add Curse song to my playlist Guest List Engadget,O B-artist B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
65,I need to add another track to my cleaning playlist,O O O O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
66,add this artist to my 80'S PARTY,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
67,Add gene clark to diann's chill out list,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
68,Add a tune to rare groove,O O B-music_item O B-playlist I-playlist,AddToPlaylist
69,add hopeful to my this is enrique iglesias,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
70,add scott putesky to concentración indie rock playlist,O B-artist I-artist O B-playlist I-playlist I-playlist O,AddToPlaylist
71,A Shawnna to the Warm Hearts Feel Good playlist,O B-artist O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
72,add artist John William Boone to my life's short; play fast playlist,O B-music_item B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
73,add jim martin to Deathcore,O B-artist I-artist O B-playlist,AddToPlaylist
74,put this track on soul bpm my playlist,O O B-music_item O B-playlist I-playlist B-playlist_owner O,AddToPlaylist
75,add this artist named trevor mcnevan to the playlist top gaming tracks,O O B-music_item O B-artist I-artist O O O B-playlist I-playlist I-playlist,AddToPlaylist
76,Add Ashley Cafagna Tesoro to my reggae en español list,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
77,Add artist to playlist Classic Punk,O B-music_item O O B-playlist I-playlist,AddToPlaylist
78,Add a tune to my elrow Guest List,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist
79,I want to add Anna Semenovich to the dinner with friends playlist,O O O O B-artist I-artist O O B-playlist I-playlist I-playlist O,AddToPlaylist
80,Play Disco Tango to Power Walk,O B-entity_name I-entity_name O B-playlist I-playlist,AddToPlaylist
81,Add tune to my Folk Music At The Gaslight Café,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
82,add this artist to romántica,O O B-music_item O B-playlist,AddToPlaylist
83,Please add 80s Classic Hits Asking for It to my playlist,O O B-playlist I-playlist I-playlist B-entity_name I-entity_name I-entity_name O B-playlist_owner O,AddToPlaylist
84,add this artist to primavera sound 2016 barcelona,O O B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
85,Add this album to Trotamundos,O O B-music_item O B-playlist,AddToPlaylist
86,Add splendido hotel to my verano forever,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist
87,add lunacy to my chill out playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
88,Add Without Your Love to my showstopper being mary jane list,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
89,Add this song to my list Trabajo Relax,O O B-music_item O B-playlist_owner O B-playlist I-playlist,AddToPlaylist
90,Add this track to my Zen Focus playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
91,add décadas to my list Neo da Matrix,O B-playlist O B-playlist_owner O B-artist I-artist I-artist,AddToPlaylist
92,The Zen Focus playlist needs David Franj in it,O B-playlist I-playlist O O B-artist I-artist O O,AddToPlaylist
93,put four in blue onto Ultimate 00s,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist,AddToPlaylist
94,I want global top 50 to have marit bergman added to it,O O B-playlist I-playlist I-playlist O O B-artist I-artist O O O,AddToPlaylist
95,add flying to my Women of Rock playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
96,Add Gary Valenciano to the power gaming playlist,O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist
97,Add track to Urban Poet,O B-music_item O B-playlist I-playlist,AddToPlaylist
98,add country favorites willie nelson style to my playlist titled Spinnin' Records Top 100,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
99,"add reggaeton classics in playlist jennie, jennie",O B-playlist I-playlist O O B-entity_name I-entity_name,AddToPlaylist
100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,O O B-music_item O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
101,Add to my verano list a song by andy lee,O O B-playlist_owner B-playlist O O B-music_item O B-artist I-artist,AddToPlaylist
102,add the artist to my Spooning playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
103,Add the tune to my House Afterwork playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
104,add this artist to my Sinfonía Hipster,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
105,I want to put Land of the Dead into my Big Daddy's Booze & Blues playlist,O O O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
106,Can you put in person at carnegie hall on my winter playlist,O O O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist O,AddToPlaylist
107,Add I Almost Lost My Mind to my bossa nova dinner playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
108,Add another tune to my Soft Rock playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
109,put this album on my road trip playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
110,Add Guy Warren to my bossa nova dinner playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
111,Add another song to my this is status quo playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
112,add this album to tgif,O O B-music_item O B-playlist,AddToPlaylist
113,put dj green lantern on my Targeted playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist
114,Add Jermaine Fagan to spring music,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist
115,add Black Ribbons to the autumn playlis,O B-entity_name I-entity_name O O B-playlist O,AddToPlaylist
116,add Halfway Between Here and There to my canadian country playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
117,add No Secrets to power gaming playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist
118,add Split the Difference to my Women's Lit playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
119,put Joseph Utsler on All Out 70s,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
120,Put a track by lil mama into my guest list sneaky zebra playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
121,I would like Ignacio Figueredo 's tune added to electroNOW,O O O B-artist I-artist O B-music_item O O B-playlist,AddToPlaylist
122,add a shot at glory to calm before the storm,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
123,add tune Digster Reggae,O B-music_item B-playlist I-playlist,AddToPlaylist
124,Add an artist to my playlist Domingo Indie,O O B-music_item O B-playlist_owner O B-playlist I-playlist,AddToPlaylist
125,put a xiang xiang track onto women of the blues,O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
126,add this artist to sunshine reggae,O O B-music_item O B-playlist I-playlist,AddToPlaylist
127,put this tune on my your favorite coffeehouse playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
128,add this artist to the playlist cool jazz,O O B-music_item O O O B-playlist I-playlist,AddToPlaylist
129,add cliffs of dooneen in playlist Lo Que Suena Los Angeles,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
130,add pangaea to my Gold Edition playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
131,Add album to my grandes unplugged,O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
132,Can 50 minute technicolor dream be added to meredith's Cierra La Puerta playlist?,O B-entity_name I-entity_name I-entity_name I-entity_name O O O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
133,Add judge jules to instrumental study,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist
134,Add Roots of the Outsiders to Blues Roots,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist,AddToPlaylist
135,"add artist Fabri Fibra to This Is Earth, Wind & Fire",O B-music_item B-artist I-artist O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
136,include pat smear on Guest List Engadget,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
137,add track to my Cloud Rap,O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
138,I need to add a song to my lo que suena new york playlist,O O O O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
139,add dan the automator to forever country,O B-artist I-artist I-artist O B-playlist I-playlist,AddToPlaylist
140,put this song on the Chips and Salsa playlist,O O B-music_item O O B-playlist I-playlist I-playlist O,AddToPlaylist
141,put this song by rayvon on my all out 80s playlist,O O B-music_item O B-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
142,The Sleep Machine Waterscapes playlist needs some kris chetan ramlu in it,B-playlist I-playlist I-playlist I-playlist O O O B-artist I-artist I-artist O O,AddToPlaylist
143,Add teriazume to the nação reggae playlist,O B-entity_name O O B-playlist I-playlist O,AddToPlaylist
144,Add shot forth self living to my Folk Metal Warriors playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
145,Add Jack Be Nimble to my reggae bombastic list,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
146,Add this song to my fairy tales,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
147,add a new entry for mon beau sapin in lela's música libre playlist,O O B-playlist O O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
148,Can you add Blood On The Face to the playlist called Heartland Country,O O O B-entity_name I-entity_name I-entity_name I-entity_name O O O O B-playlist I-playlist,AddToPlaylist
149,add song to This Is Philip Glass,O B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
150,Add what child is this to Dark Dance Floors,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist
151,Add ana carolina to chill,O B-artist I-artist O B-playlist,AddToPlaylist
152,I want 4813 added to my Rhythm and Blues playlist,O O B-entity_name O O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
153,Add this artist to my Post-grunge playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
154,Add the album to rosanna's ejercicio playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
155,I want to add something by the artist Nadine to my Workday – Pop playlist,O O O O O O O B-music_item B-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
156,add this track to anne's playlist named Just Smile,O O B-music_item O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist
157,add the album to my Latin Pop Rising playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
158,Open my acoustic concentration playlist and play an entire album,O B-playlist_owner B-playlist I-playlist O O O O O B-music_item,AddToPlaylist
159,Add venedig im regen to this is Maxwell,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist
160,Add this tune to the Heavy Gamer playlist,O O B-music_item O O B-playlist I-playlist O,AddToPlaylist
161,add this artist to Spain Top 50,O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
162,Add Warning Device to my mac 'n cheese playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
163,add Give Us Rest to my Very Nearly Nashville playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
164,add this tune by harry connick jr to my jazz brasileiro playlist,O O B-music_item O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
165,"Add the Beatles tune Yesterday to my playlist, The Southern Highway Chronicles",O O O B-music_item O O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
166,Add Tranquility to the Latin Pop Rising playlist,O B-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist
167,Add a tune to Skylar Diggins' Training Mix,O O B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
168,add this teddy charles album to this is pavarotti my playlist,O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist B-playlist_owner O,AddToPlaylist
169,Can you put tire me onto my new music friday latin playlist?,O O O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
170,Add Come on Feel the Lemonheads to my salsa classics playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
171,Add the artist LeAnn Rimes to the Women of Indie playlist,O O B-music_item B-artist I-artist O O B-playlist I-playlist I-playlist O,AddToPlaylist
172,Add a Kanon Wakeshima track to the Feeling Blue playlist,O O B-artist I-artist B-music_item O O B-playlist I-playlist O,AddToPlaylist
173,Add this tune to my rage radio playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
174,add to anacreon in heaven into the playlist girls' night,O B-entity_name I-entity_name I-entity_name I-entity_name O O O B-playlist I-playlist,AddToPlaylist
175,Add Transmission to my found them first,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist
176,add song to my El Mejor Pop en Español,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
177,Add out of the air to my a mis niños de 30 playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
178,Add artist to my 80'S PARTY,O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
179,Can you put this track onto classic jazz funk ?,O O O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
180,Add cordell mosson to my i love my neo soul list,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
181,Add CJ Snare to my indie mim playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
182,add to my playlist Lazy Chill Afternoon Nothing Can Stop Us,O O B-playlist_owner O B-playlist I-playlist I-playlist B-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist
183,Place Raise Your Fist onto year in metal 2016,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
184,Add Hound Dog Taylor to the miami 2017 guest list playlist,O B-artist I-artist I-artist O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
185,Please add a tune by kaori utatsuki to my Korean OSTs playlist,O O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
186,I'd like johnny nash to be put into my playlist Always Pop Punk,O O B-artist I-artist O O O O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
187,I want to add Digital Line to my playlist called Infantil,O O O O B-entity_name I-entity_name O B-playlist_owner O O B-playlist,AddToPlaylist
188,add this clint mansell song to latin pop classics,O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
189,Add the song to my R&B Movement playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
190,Add the artist Gwenno Pipette to the sexy as folk playlist,O O B-music_item B-artist I-artist O O B-playlist I-playlist I-playlist O,AddToPlaylist
191,Incorporate Nao Kawakita into the epic classical playlist,O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist
192,Add the album to my Heavy Gamer playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
193,Add big bill broonzy to my Impulso Creativo,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist,AddToPlaylist
194,Add suffer little children to this is racionais mc's playlist,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
195,Add thomas a dorsey to my Big Band,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist,AddToPlaylist
196,Add some patrick stump to maritza's disco fever list,O O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
197,add this album to my de camino a clase playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
198,Add artist to my working day,O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
199,add this track to my epic wall of sound playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
200,Add this tune to the Spinnin' Records Top 100 list,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
201,Add track to Afternoon Train Ride,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
202,add keltech to my 70s road trip playlist,O B-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
203,I need another artist in the New Indie Mix playlist,O O O B-music_item O O B-playlist I-playlist I-playlist O,AddToPlaylist
204,add the song to the Dub On The Beach playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
205,add the album to the Six string peacefulness playlist,O O B-music_item O O B-playlist I-playlist I-playlist O,AddToPlaylist
206,I want this album on my Indie Alternativa playlist,O O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
207,Add the current tune to my Evening Groove list,O O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
208,Add Welcome to the Cruel World to my Reggae Classics playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
209,Add Ronski Speed to sweet soul chillout,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist
210,Add artist to ina's 2010s smash hits,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist
211,add Devil Pray to my party list,O B-entity_name I-entity_name O B-playlist_owner B-playlist O,AddToPlaylist
212,add this track to my party playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
213,add the track by josh kear to myra's playlist with the name highway 61,O O B-music_item O B-artist I-artist O B-playlist_owner O O O O B-playlist I-playlist,AddToPlaylist
214,add song to evening playlist,O B-music_item O B-playlist O,AddToPlaylist
215,Add this track to my Dance Workout playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
216,Add bret mckenzie to my Pop Commute playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
217,add Yameen to the uncharted 4 nathan drake playlist,O B-artist O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
218,add vl mike to my Dcode2016 playlist,O B-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist
219,add joshua radin to my playlist called Futuros Hits,O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist
